prefecture,municipality,districtName,tradePrice,floorPlan,area,buildingYear,structure,cityPlanning,period,renovation
東京都,中央区,日本橋堀留町,24000000,１Ｋ,15,平成16年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋堀留町,64000000,２ＤＫ,55,平成27年,ＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋堀留町,26000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋堀留町,57000000,２ＬＤＫ,50,平成18年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋堀留町,12000000,１ＤＫ,20,昭和55年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋本町,26000000,１Ｋ,15,平成16年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋横山町,47000000,１ＬＤＫ,35,平成29年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,八丁堀,47000000,１ＬＤＫ,50,平成12年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,八丁堀,68000000,３ＬＤＫ,75,平成12年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,八丁堀,50000000,２ＬＤＫ,50,平成19年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,八丁堀,40000000,２ＤＫ,35,平成17年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,晴海,64000000,２ＤＫ,55,平成27年,ＲＣ,準工業地域,2020年第１四半期,
東京都,中央区,晴海,84000000,４ＬＤＫ,85,平成28年,ＲＣ,準工業地域,2020年第１四半期,
東京都,中央区,晴海,50000000,２ＬＤＫ,55,平成25年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,54000000,１ＬＤＫ,50,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,70000000,３ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,47000000,１ＬＤＫ,50,平成21年,ＲＣ,準工業地域,2020年第１四半期,改装済
東京都,中央区,晴海,49000000,１ＬＤＫ,40,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,28000000,３ＬＤＫ,50,昭和58年,ＳＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,43000000,１ＬＤＫ,40,平成25年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,78000000,３ＬＤＫ,70,平成25年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,100000000,３ＬＤＫ,85,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,75000000,３ＬＤＫ,70,平成25年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,90000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,70000000,３ＬＤＫ,75,平成25年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,60000000,３ＬＤＫ,70,平成21年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,晴海,76000000,３ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,82000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,69000000,２ＬＤＫ,70,平成25年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,82000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,改装済
東京都,中央区,晴海,100000000,３ＬＤＫ,80,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,47000000,１ＬＤＫ＋Ｓ,55,平成10年,鉄骨造,第１種住居地域,2020年第１四半期,未改装
